City,Date,AQI
Khammam,01-07-2020,70
Khammam,01-08-2020,37.14285714
Khammam,01-09-2020,52
Khammam,01-10-2020,62
Khammam,01-11-2020,82.5
Khammam,01-12-2020,94.88888889
Khammam,01-01-2021,99.77777778
Khammam,01-02-2021,84
Khammam,01-03-2021,68
Khammam,01-04-2021,54
Khammam,01-05-2021,0
Khammam,01-06-2021,88
Khammam,01-07-2021,69
Khammam,01-08-2021,67
Khammam,01-09-2021,84.93873676
Khammam,01-10-2021,61
Khammam,01-11-2021,86
Khammam,01-12-2021,78
Khammam,01-01-2022,99.77777778
Khammam,01-02-2022,84
Khammam,01-03-2022,68
Khammam,01-04-2022,54
Khammam,01-05-2022,0
Khammam,01-06-2022,88
Khammam,01-07-2022,69
Khammam,01-08-2022,67
Khammam,01-09-2022,84.93873676
Khammam,01-10-2022,61
Khammam,01-11-2022,86
Khammam,01-12-2022,78
Kothagudem,01-01-2017,69.22222222
Kothagudem,01-02-2017,63.55555556
Kothagudem,01-03-2017,57.47037037
Kothagudem,01-04-2017,60.66666667
Kothagudem,01-05-2017,58.91481481
Kothagudem,01-06-2017,52.45925926
Kothagudem,01-07-2017,44.44444444
Kothagudem,01-08-2017,51.05
Kothagudem,01-09-2017,51.59259259
Kothagudem,01-10-2017,63.33333333
Kothagudem,01-11-2017,59.37037037
Kothagudem,01-12-2017,63.51481481
Kothagudem,01-01-2018,66.77777778
Kothagudem,01-02-2018,64.44444444
Kothagudem,01-03-2018,70.85491288
Kothagudem,01-04-2018,80.66666667
Kothagudem,01-05-2018,81.11111111
Kothagudem,01-06-2018,85.375
Kothagudem,01-07-2018,80.75
Kothagudem,01-08-2018,85
Kothagudem,01-09-2018,86.21953671
Kothagudem,01-10-2018,92.11167259
Kothagudem,01-11-2018,105.2222222
Kothagudem,01-12-2018,98.22222222
Kothagudem,01-01-2020,99.88888889
Kothagudem,01-02-2020,95
Kothagudem,01-03-2020,95
Kothagudem,01-04-2020,44
Kothagudem,01-05-2020,73
Kothagudem,01-06-2020,80.40740741
Kothagudem,01-07-2020,63
Kothagudem,01-08-2020,40.875
Kothagudem,01-09-2020,52
Kothagudem,01-10-2020,72
Kothagudem,01-11-2020,97.125
Kothagudem,01-12-2020,109.8888889
Kothagudem,01-01-2021,109.5555556
Kothagudem,01-02-2021,104
Kothagudem,01-03-2021,99
Kothagudem,01-04-2021,82
Kothagudem,01-05-2021,62
Kothagudem,01-06-2021,58
Kothagudem,01-07-2021,80
Kothagudem,01-08-2021,87
Kothagudem,01-09-2021,82.83794202
Kothagudem,01-10-2021,92
Kothagudem,01-11-2021,86
Kothagudem,01-12-2021,90
Kothagudem,01-01-2022,109.5555556
Kothagudem,01-02-2022,104
Kothagudem,01-03-2022,99
Kothagudem,01-04-2022,82
Kothagudem,01-05-2022,62
Kothagudem,01-06-2022,58
Kothagudem,01-07-2022,80
Kothagudem,01-08-2022,87
Kothagudem,01-09-2022,82.83794202
